Nom du lieu,Catégorie,Statut,Adresse,URL Google Maps,Photos,Informations,Site web,Testé le,Latitude,Longitude
Musée des Egouts de Paris,Cul'ture,À faire,"Esplanade Habib Bourguiba, Pont de l'Alma, 75007 Paris",https://maps.app.goo.gl/9pH9QanT5FSe9WmeA,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFVnvGp3lnpVWru6h0T-SBtcwlMT_xOfegrtd22oDbStij2lj85ivLrBStuf_to0proEztBVxB_mLyzCrVtrfrsnaZKvaSVgFFJLQs45TVUH17IeeGTIWPThLyDHhVAm3rdkJOG8A=w426-h240-k-no,,https://musee-egouts.paris.fr/,,48.86251,2.3025
Catacombes de Paris,"Cul'ture, Expériences",À faire,"1 Av. du Colonel Henri Rol-Tanguy, 75014 Paris",https://maps.app.goo.gl/JUmn85vifABvWBJ57,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGY06-bM3PjagrBhJG-IwuvmlNkNUDOrtdDhScOMp0aIVSuxJFHWmblfmB1s4fXvEBcGuxs3obaPFEDDA281k4w9d_3-yI1FGIBXDB4S19lRHcIREJZ4dgF3GdVF0WEaa-WC-JFUA=w408-h306-k-no,,https://www.catacombes.paris.fr/,,48.833916,2.332365
Tour Saint-Jacques,Cul'ture,À faire,"Square de la Tour Saint-Jacques, 75004 Paris",https://maps.app.goo.gl/WnPX15ViBiwwqU8k9,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF5exEmyp6oRzaWIDtuqUzJqickWMGMhlbAOutldZtbsd-8ePSkvxvHf1m_3j1MOAJTOqygc_eP6Jh5tNRqtllEAbEJXC_FrnPnQ86IXgCLTJeJAwRdUwPAk4rAWrxY9izK_58O=w408-h544-k-no,,,,48.858038,2.34888
Crème des Crèmes,Emplettes,À faire,"8 Rue Changarnier, 75012 Paris",https://maps.app.goo.gl/3rFcAF1sahtBCSpE6,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEnoGlTS9mDEYCnkd9W9C8947hyAN4FXMHKA22qPZCjPoirHCo3ONuvlzjF5Ev49nmK4D-K7tu5VDid7ZWxNoTBsIyuQgD9Ninyy1v34Q7MaSe3rK1F3x_vEK2JcVdBRyaT0a6rnA=w408-h407-k-no,"Epicerie avec pâtes à tartiner maison, oriental",https://cremedescremes.com/,,48.845199,2.411756
Coulée verte René-Dumont,Au vert,À faire,"Coulée Verte René-Dumont, 75012 Paris",https://maps.app.goo.gl/DYamK7UeLHfXUokN6,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEErPy8pKD1X1HSqwIzsYKR00v4c0_dC-nhuH3-OVp-WwGKBeY1HPYdtqqh2xdkz0SShYVO0PJS--Cv2jDvnAdkTy0L9SA-h9BbFV6hyvCWA8U1IQDjK968p7gEO_FAbxTNR6oq=w408-h544-k-no,Départs Bastille ou Château de Vincennes,https://www.paris.fr/lieux/coulee-verte-rene-dumont-1772,,48.849623,2.371125
La Poutinerie,À boire & à manger,À faire,"49 Rue d'Enghien, 75010 Paris",https://maps.app.goo.gl/uJAinn9CkE2khSfj9,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEQGqGxx0LDvEJAfJQfsB00CLVFJwM6ngI5TaQuKzo2lPNVpbhtqg259gmA1NfiAUzUPvp8R0ak4TpwVG6ANW4N4LIpq7fGpX6W3hh0hXnT2HpdYgCnpazUh2m39F8RnaVSdM9t=w408-h274-k-no,,https://lapoutinerie.fr/#cards,,48.872343,2.348223
Le Grand Rex,"Cul'ture, Expériences",À faire,"1 Bd Poissonnière, 75002 Paris",https://maps.app.goo.gl/kNP2i45Bqi85m4ga9,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHFYwEs1DC_ktEvIMiH-kBlQ0H6FgNVO3TUaKh1oBCuyhb8wGcJZuNeRpl8eZ4Zq6_uUPPv7ng9WPOS3ERqADBzjIwR-FxlO2QZtGb9fRNi3MqutssC9xHN-yfNFWZ1X_zL0UFX=w408-h314-k-no,"Cinéma, auditorium et visites guidées",http://www.legrandrex.com/,,48.87054,2.347679
Velours Café,À boire & à manger,À faire,"16 Av. Richerand, 75010 Paris",https://maps.app.goo.gl/KFqTnFbzXy9FYuY87,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHM3RaFyLvCVGOzDmN3TT0MloBNkkb_w9VAvWCtFEsivfwBFeCFOAVbHoePgeF8VZn_MxB6X_3zZo8o3aZdArNBOfN780BlkICW7tkrylwFb-RyPUNXvhtF-b0GXDTTCUhmv1Ko9P68lj1A=w408-h611-k-no,"Café, chocolats chauds, sandwicherie",https://veloursparis.com/,,48.8724,2.366508
Elysées Lincoln,"Cul'ture, Expériences",À faire,"14 Rue Lincoln, 75008 Paris",https://maps.app.goo.gl/zaR1gvVSpHCcxwz46,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGUWQKjfEJP-RkZMxyhWNvvGgu_bnvsKsfI-WBiVNRmEsie1Uu6VRFbybVEKIIGZnw7jDQavud9pXDn7S0QVLTnqagc2i1fc07YFDyqmktARQrT3XrXhjFTo95YUTBQ2YCvXYOHCMimlRc=w408-h306-k-no,Cinéma,https://www.multicine.fr/,,48.870515,2.303179
Cinéma Plein Air Quai Branly,Cul'ture,À faire,"37 Quai Jacques Chirac, 75007 Paris",https://maps.app.goo.gl/RCFMwjcKToMUhHvWA,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEVXlGQYHpn3k4WOqGgK7I4WesWamXwGjX5-4kLXWIRdi2Wi8hDDD4ygm4PpomBkMHOZU97eFKkX6dDSftqXJynzqrgzIG6luAyWbF27wVQek-c72w8q3Cil1Wu3svi4LmIUkOj=w408-h306-k-no,,https://www.quaibranly.fr/fr/expositions-evenements/au-musee/cinema/details-de-levenement/e/cinema-en-plein-air-1-1-1,,48.860882,2.297848
Bateau Chocolaté,À boire & à manger,À faire,"Pl. Fouillere, 78700 Conflans-Sainte-Honorine",https://maps.app.goo.gl/gRjearBzohv5tZBeA,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGzSTUTWomG6h9cPgNkkNwC1Dz8woYfl7IG74iOPYUQOaVZ0wGRyPDE4pv9QxhhJ_il7xz4856O4UHhQHk-1Gc-2RJhiyWhUOd1-dceoiB7o5OPStP0RirU9CZm3DlufRRt2N-5=w408-h306-k-no,,https://www.bateauchocolate.com/notre-carte.php,,48.991136,2.091415
emm… café,À boire & à manger,À faire,"51 Rue Amelot, 75011 Paris",https://maps.app.goo.gl/FQ82iY2Pe2hihon59,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEUrbHcdqYvZxWrdXeDkC8WRQB1T_0EWMT1l8V677X2H9j-YAN74WAmC3BzNDxHo_rJb6a5VJQ92BtxjA38cVN3ZW1jSN1TWfEFWhKMCbeZ6MdwWfRJXrdRLPeGqLbOhCrfWzoeiUZCLN-I=w408-h544-k-no,Boissons avec mousses en forme de chats,https://www.instagram.com/emm.cafeparis?igsh=bjBlcjlnc3VwMnBy&utm_source=qr,,48.857928,2.368561
Église Notre-Dame du Menoux,Cul'ture,À faire,"15 Pl. Général Jean Pascaud, 36200 Le Menoux",https://maps.app.goo.gl/djD5a36CN4YdNyYe9,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHxzJnBmJGbLva38LKZvnAylYK3QsnoNseb8eatsJ_ixV85NSpYq6Mauk3KiIikcYAg0p1JDQlFQ9gjRAsb55sSmPEY2UAFpaSUWBy4NprPHM3J891FUXLLphImND5KEseAzyJJ=w408-h292-k-no,,,,46.55394,1.568252
Ace Boucherie & Traiteur,"À boire & à manger, Emplettes",À faire,"58 Rue Sainte-Anne, 75002 Paris",https://maps.app.goo.gl/sn931piS36Uj3swz8,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEY4592UMLxiSMqJ8n6v_PpUJKcdjBzq2aIaq4NXBn1wB0YIpjBaLYrtEThup0ww46spWpWG4n-8F1nWkylcMy2KXZ0RQXcaHaUJudysJFW81Up3QyndHgN5CJvG5P2oIV0qht7D9dwE45q=w408-h306-k-no,Restaurant et traiteur coréen,,,48.86804,2.33640
Abracadaparc,Expériences,À faire,"Ecuries du parc du château, Pl. Hyacinthe Drujon, 95190 Goussainville",https://maps.app.goo.gl/brpr1FiHbBAcUJeq9,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHyLxMCpQM9W-HGJPclP8TWGAa4PMaemLx7lfPfhixmqCXOWMU_Y5E2_Ho9k-JsZhmtGQwN_AY6y17bh0DiwC-sFJ0u0Ga7Hfb9ME6QVUTgt5VYew7KGmDFJSLqHdBJafCIGKU=w408-h724-k-no,Escape game,https://abracadaparc.fr/,,49.013293,2.465585
laCrèma,À boire & à manger,À faire,"19 Rue Soufflot, 75005 Paris",https://maps.app.goo.gl/hg18qfyRXwnEQ5yx7,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHvliM_DK2kOwtaW65My-XpMVeBLwGMrRUqnES422Zv0hu4Qyui7-xC9CzUDhfdRpxnmXKuPb8Y5oXLCLNg4rXgNs_r44GeLM7ONyqp5ntyhlJ_YRm-lzSaFujFSL6XF52upuuo1t6r3AGM=w408-h544-k-no,Glacier italien,https://www.instagram.com/lacremaparis,,48.847095,2.341359
Le Parizot,À boire & à manger,À faire,"9 Rue de Crussol, 75011 Paris",https://maps.app.goo.gl/W6AtX3EYGCvLGMUo6,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnuTRzbHnkitsBMSolzmjRBgbN7B4--HQVLPrLl6VgZVhx3hCzTKNfzgKFWo4i94CMufsE-n-4ejZ-DJSh9RG83gL-OrInwIWlUjMsB-CgeZihSKiU4pnm4Isj09XBBRm0YIqcxKLWZI0k=w408-h606-k-no,Sandwicherie,,,48.864141,2.367648
